C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_time Go_time Java_time JS_time PHP_time PY_time Ruby_time
392.9 15.8 NaN 39.0 48.1 116.5 99.3 151 7 240 15 21 51 42
375.2 15.4 479.6 60.7 44.8 114.8 98.9 130 7 258 23 20 50 42
376.1 15.1 454.5 53.3 42.5 112.7 99.6 130 7 256 22 20 51 42
377.9 17.5 3.9 55.6 47.9 114.6 99.7 130 7 256 22 21 51 42
378.6 15.3 450.7 53.2 45.2 113.2 100.5 130 7 256 21 20 50 43
385.7 17.6 445.4 46.3 43.6 116.8 98.6 132 7 257 17 20 51 42
374.5 17.2 450.1 2.2 46.4 117.2 96.3 130 7 256 28 19 50 43
366.5 15.1 443.0 53.5 40.4 115.0 96.4 130 7 256 22 20 51 42
370.2 19.2 185.6 NaN 43.4 111.9 98.6 130 7 257 28 19 50 42
370.8 15.1 1.9 37.4 48.4 112.2 95.6 130 7 256 15 21 51 42
369.8 15.0 2.0 52.7 49.4 116.1 98.5 131 7 258 23 20 51 42
368.2 17.1 121.1 49.5 47.8 112.6 93.7 130 7 257 20 21 50 42
361.7 16.9 2.0 51.2 40.7 113.0 95.3 130 7 257 22 20 50 41
367.1 17.0 2.0 74.0 44.7 112.3 94.8 130 7 257 34 20 51 44
358.9 14.9 5.6 50.6 45.9 113.4 98.0 130 7 256 21 21 50 43
367.3 17.2 NaN 2.3 42.8 NaN 97.3 131 7 240 28 20 61 42
364.1 17.2 446.2 53.5 45.2 115.0 98.9 130 7 256 22 19 51 42
366.8 19.0 434.3 51.0 50.0 111.2 94.1 130 8 257 22 22 51 42
339.7 14.9 430.0 51.6 44.1 112.0 98.0 130 7 257 22 20 51 42
371.9 17.2 NaN 50.8 48.2 113.4 98.3 130 7 257 22 22 51 42
367.1 17.5 4.0 NaN 46.0 114.5 96.7 129 7 256 28 21 51 43
368.9 19.3 436.5 52.9 44.8 114.5 97.3 129 7 256 23 21 51 42
370.2 15.1 3.8 2.2 46.8 98.3 98.5 130 7 256 28 21 51 42
369.3 17.2 458.9 54.1 42.5 114.7 94.6 131 7 257 22 20 51 42
367.2 17.3 4.1 58.5 43.9 115.6 100.5 130 7 257 25 20 51 42
374.2 19.3 425.2 56.4 44.8 117.1 97.0 130 7 256 22 20 50 42
372.2 15.2 182.7 53.9 46.7 115.8 95.2 130 7 256 22 21 50 42
380.2 17.2 NaN 54.7 47.2 83.5 96.4 132 7 240 22 21 51 42
370.0 15.1 458.2 57.2 47.5 114.5 81.8 130 7 257 24 22 51 42
386.4 15.4 457.8 54.4 48.1 114.6 99.5 133 7 256 22 21 51 42
367.8 15.3 462.6 56.3 45.5 115.6 99.8 129 7 256 22 20 51 43
369.5 17.5 2.1 56.7 45.4 114.8 96.5 130 7 258 22 20 52 42
295.2 18.3 492.7 53.8 45.7 117.2 100.0 174 7 258 22 20 51 42
374.9 17.8 420.7 53.9 47.0 114.9 101.0 131 7 256 22 21 50 42
378.6 15.1 446.7 53.8 50.7 124.5 103.0 130 7 256 22 22 52 43
373.0 15.3 NaN 51.6 44.9 114.8 97.0 131 7 240 22 22 51 42
463.2 19.4 449.0 2.3 46.4 112.1 103.1 121 7 257 28 21 51 43
762.1 15.8 NaN 56.5 48.4 127.1 104.9 127 7 257 22 21 54 43
450.0 16.0 2.1 41.1 45.4 115.3 95.7 149 7 257 16 20 51 42
373.4 17.3 NaN 53.9 45.8 115.4 98.9 129 7 240 22 20 51 42
370.5 15.2 8.0 NaN 48.4 114.5 92.7 130 7 257 28 21 51 42
377.6 17.3 455.8 54.3 47.2 112.2 97.6 130 7 257 22 21 51 42
353.6 17.5 442.2 53.4 46.5 31.6 99.2 131 7 257 22 21 51 42
375.4 15.2 454.3 53.6 47.3 115.4 99.2 130 7 257 22 21 51 43
366.2 17.4 NaN 2.2 45.0 114.3 100.0 130 7 240 28 21 51 43
370.1 15.1 1.9 123.1 48.6 106.9 100.6 130 7 256 30 22 51 42
365.7 17.2 2.0 51.6 45.4 114.3 96.8 129 7 256 21 20 51 43
369.7 17.3 3.8 77.5 42.8 112.7 97.9 129 7 257 34 20 51 42
