csharp go java javascript php python ruby
1660.4 484.9 1697.7 271.6 18320.8 2440.5 8800.3
2212.2 488.0 1646.5 215.1 19975.9 2442.0 8978.8
2183.3 462.5 1668.9 392.6 20740.6 2430.8 8870.5
2215.7 461.1 144.5 265.9 21315.4 2429.6 9059.8
2281.7 456.7 1680.5 245.0 21009.0 2442.3 9000.5
2320.0 526.4 1607.6 170.0 20898.8 2619.6 4464.6
2188.6 469.8 1711.4 237.1 21619.2 2509.0 8981.9
2218.6 511.4 1671.5 274.7 20978.0 2441.4 8918.2
2232.8 388.8 1630.8 237.8 21409.6 2419.8 8566.4
2208.8 493.0 1608.6 242.4 21390.9 2471.8 9019.4
2161.9 512.1 1665.6 246.2 21072.7 2431.3 9064.7
2175.5 519.1 1646.9 124.6 22078.9 2536.3 8783.6
2275.5 489.8 1677.2 240.8 21470.4 2502.2 8888.0
2246.4 498.7 1639.3 241.2 21498.0 2428.1 1046.0
2259.4 491.7 1523.3 213.4 21657.2 2523.2 8925.1
2159.4 459.2 1600.8 159.7 21397.9 2262.0 8972.6
2249.0 468.3 1707.8 270.4 21146.0 2399.9 8972.1
2240.7 491.5 1649.4 248.2 21192.1 2349.5 8963.1
2209.9 492.4 1651.5 271.3 15254.6 2477.6 8813.6
2258.6 467.6 1658.4 215.5 21433.6 2510.9 9002.3
2359.4 468.5 1642.5 238.7 21396.8 2414.8 8949.7
2232.6 488.8 1735.9 243.1 13332.0 2504.4 9006.5
2178.4 477.0 1653.2 242.0 877.7 2421.8 9037.8
2191.1 482.4 1689.7 244.3 21349.7 2389.7 8997.3
2192.3 468.6 1653.1 243.4 21302.7 2427.9 9114.4
2215.5 464.3 1705.8 272.4 21561.5 2524.6 5234.8
2246.4 462.7 1693.7 235.3 21751.7 2445.2 9104.6
2216.2 460.4 1633.1 215.0 21766.0 2538.8 8859.9
2314.5 491.3 1657.4 249.4 21681.9 2540.6 8866.7
2316.4 515.7 1735.6 239.5 21644.7 2465.6 8924.2
2251.8 460.0 1602.9 269.0 4736.8 2363.8 9030.7
2199.9 492.9 1647.9 243.8 21949.2 58.0 9024.5
2198.6 494.9 1637.1 241.5 21701.1 2467.8 9086.5
2202.2 523.7 1303.0 214.8 21607.5 2385.6 8857.9
2323.2 523.9 1686.0 214.8 21704.2 2272.1 9067.4
2244.3 491.7 1643.2 213.5 21027.9 2358.1 9015.2
2190.8 428.6 532.7 233.9 10346.2 2384.1 8934.6
2278.4 234.8 1620.9 213.5 21659.9 2230.0 9160.8
2193.9 492.2 1678.5 119.9 21454.4 2504.7 9049.5
2196.9 467.0 1657.9 237.4 21536.5 2286.5 8984.5
2274.7 473.8 689.1 215.1 20756.3 2371.1 9049.8
2171.1 493.9 1669.0 274.2 7868.0 2429.9 8919.6
2292.9 469.9 1639.1 213.8 21483.8 2537.6 8823.8
2257.9 464.5 1644.0 214.1 21473.8 2421.8 9226.9
2233.2 507.3 1664.7 213.4 21769.5 2362.1 9162.1
2209.3 488.5 1721.5 213.9 21578.5 2541.1 8798.2
2295.0 488.8 1682.8 213.8 21473.6 2450.0 8998.4
2247.1 498.0 1733.9 235.7 21917.8 2378.0 9056.5
2193.3 450.1 1616.3 214.9 21853.2 2316.1 8705.0
2218.8 462.6 1669.0 270.8 21549.6 2521.5 9044.3
